,X,Y,Z
0,-1200867640.722316,-110308632.0292646,-95140648.43367933
1,-364401490.6292402,-826094199.8015296,-136940377.4310676
2,-3535368307.556498,-2174712545.229306,881838305.6697685
3,-1880401584.346277,551195977.8462819,-1857840369.734022
4,-57294460.00606059,-1749879579.04413,-282411755.3733398
5,19536311.16864707,-159604534.3862871,-1506523637.992961
6,529375636.0825813,-347876599.8032537,-250737082.7290887
7,714387188.3371896,-148077308.1919508,83124892.28500159
8,688206729.4945694,-95384850.40915036,201695998.4034912
9,623335022.337878,-286773996.5327415,64909640.92835569
10,609607967.8409457,-101543239.5132256,-348517785.0343521
11,578114731.6791044,-405144629.1472552,236273162.0645958
12,708920805.8768365,-283500432.7961681,27424173.59754792
13,530850960.2531382,-552811974.7113869,23898686.85546812
14,762808151.0800055,-29712264.52860751,39039584.46219353
15,753500751.045973,-306542592.7956439,209957213.1347803
16,672523244.8669567,-382949017.826615,14244473.99423328
17,738331817.3950193,-142794522.5668133,170014395.8417633
18,644417781.1662925,-448924202.6181065,196661554.4258334
19,744436503.8500844,-216119228.8329082,9703519.918052629
20,718977744.0983374,-45389215.67999431,263614873.1551412
21,452474853.7363136,-542308107.4289298,-49868234.9998686
22,749136766.430101,-277493637.9140608,8934476.15955843
23,557217963.4723718,-460586855.9600298,-99091877.74507864
24,681667156.6163524,-324289822.2096568,-136307230.1523049
25,629779790.4529195,-290997104.244306,17690934.27492973
26,690562928.782535,-129367431.2601501,-204417462.7856228
27,677765075.5165042,-204560450.5264387,93160494.14066295
28,553195471.798991,-350487995.2869916,92453301.47175674
29,608013213.5538509,-398015263.6566398,97333202.05469874
30,577535511.241732,-403490175.7515223,22428863.04469042
31,594401522.0669677,-483456529.3831794,59862678.14425445
32,678698873.4640065,-90151052.01359557,323097949.3651591
33,537158475.676219,-471402563.0877593,-164058879.109415
34,546414038.438686,-472132154.6188661,-107724010.1250152
35,748037835.8395233,-153279750.163116,-37857468.93891233
36,502289458.3189053,-537110092.9416174,280429171.9434572
37,639380847.9929067,-303153584.1887932,-116269312.2032433
38,521606324.5909243,-511763047.1098616,93795691.18268156
39,574139016.3460492,-496586858.2679544,100085409.0597949
40,614681098.071634,-512293186.112914,-115167114.532249
41,658564841.9437867,-286593821.4886686,99261502.57341266
42,634656244.6230623,-194900874.6084704,-106626127.9134351
43,694170033.9382927,-332179372.8453924,-5449018.857334703
44,619933934.005409,-303668552.3049128,57209041.65169369
45,630312870.4893917,-244528062.8265771,214259394.3451857
46,509755138.9526733,-556036536.0897983,199224691.4763875
47,558951099.9783947,-233246493.109984,23259472.04097228
48,662648832.9551548,-444801636.7028363,-2964386.009865999
49,585027804.1593006,-393095654.4663237,136259803.3825845
50,726817037.2470193,-60497533.42791382,-5778238.181859534
51,629250972.4726734,-214816218.4878662,-98800322.11211492
52,722303078.503734,-299535389.5756066,-3712591.477979571
53,382897073.6406667,-490231205.2937719,-217827968.311134
54,685647731.7733326,-327419214.9999287,-18556496.53648435
55,633790776.4397907,-291636293.9164847,158388529.2380884
56,709157551.3023474,-245508091.7561094,147030664.6036918
57,629724632.7199218,-376291479.2699774,-20277599.98422861
58,545567364.672025,-527675289.569676,-10707582.4009023
59,654450598.5508769,-373301265.1014229,-13586674.84362535
60,607187064.9030482,-410941720.7473721,78407870.20457102
61,746758474.826812,-145173969.1843669,-56639707.83399305
62,516325650.3562765,-440744084.7862314,4550222.987502337
63,723660587.1748897,-265797590.1635993,3075334.043302283
64,513742301.1704788,-615442011.9655876,-16460437.23103693
65,607268691.193065,-323277916.5035032,-158486473.5108796
66,594829797.0959059,-435671652.4699246,-14531307.55965906
67,662434426.3360436,-341900201.1766424,-9020986.034996895
68,524813115.8694301,-364028526.1832455,200251846.7750097
69,669449455.1479185,-183327.122107327,-115536970.0123856
70,771026338.2842655,-75457507.62587848,-136451149.6176441
71,509963369.9336248,-410041638.5227083,168047130.2050899
72,669788304.9196851,-353775923.7707019,-6517277.399783105
73,530851829.3175878,-378420685.1421263,287926839.9135069
74,567890990.2551196,-450825643.7683268,143656370.6231189
75,635774538.9658378,-186098631.3550371,-3204726.915796936
76,521379938.6182699,-342443675.5624441,346293154.0246019
77,666738586.3394023,-185691910.3247501,310408619.9927543
78,591315507.7651945,-291380698.2251181,-5313581.14137578
79,710055345.7155014,2812078.52224791,231489707.250275
80,739619949.0850497,-25888520.75293089,-28379238.20247795
81,536623007.5774226,-572400386.5366255,18329248.67192954
82,532300104.2873425,-552314076.0061632,231560593.1024283
83,627776983.5422853,-270969415.6337071,116264271.6353087
84,614936372.2656218,-396884249.8123702,-11346417.22586489
85,483007354.8789798,-554351077.5641073,-101447840.7174167
86,481461553.7953474,-383147509.8332169,-130125240.6401358
87,530783551.7234793,-463989132.0082225,-9582794.502096176
88,580669231.6521614,-403889547.0850041,41702868.43108699
89,665894048.9107354,-251777471.3184509,-161760740.5222823
90,573487714.283287,-556257747.7300313,-92894349.98166376
91,671097086.7374184,-245997943.8951665,147385631.0730737
92,654601967.465932,-406553453.0239498,22090918.29863247
93,562093906.0749773,-445085952.2437888,-13752302.69947693
94,658050407.9245467,-240910426.9142305,-183488469.8403707
95,652478385.4558525,-331517114.6037815,-191011068.872305
96,601108097.1497453,-422754694.2245991,-189903786.8057126
97,605776007.3366919,-181455532.4918826,-341236829.7970332
98,596737483.7590846,-421506764.6268262,-101168074.9889569
99,637580311.0316763,-355702843.4459028,114002181.1010672
100,729421451.4954104,-194188272.3949561,-174199652.7770506
101,347485626.9968307,-692570155.550714,101528924.8062873
102,641791870.821795,-255488728.4391863,-21721536.93528157
103,564473767.866828,-367535030.2359912,190364654.535218
104,652124336.7175939,-367349606.8384767,-211346917.546604
105,695535592.9057937,-174260673.6518143,169193130.8275632
106,539186323.4169438,-514844741.705245,-2241049.185893208
107,753709338.4011427,-251957334.0143337,94695445.50236537
108,605112131.5309932,-161315753.3489364,301823056.1661223
109,613458266.5517316,-277554451.1349674,-183588620.6412166
110,637970049.7499849,-134965450.0380661,353349191.1852549
111,461841633.4934236,-500210429.6132418,346027511.3382263
112,606376530.2910041,-435953822.6110155,-94619321.44911692
113,558114696.0221647,-507692295.7649406,-107686588.6890853
114,527829887.4840351,-325416219.4994507,182592432.2644745
115,708277116.0632055,-207140222.9133093,3919734.666367739
116,738201791.3543707,39949696.92762905,30537964.32776481
117,407619922.5927404,-617612239.2004285,18463979.57469499
118,528182076.1163649,-482572553.9077698,171501771.9723237
119,478298113.849672,-575189931.083893,52891013.99216589
120,675136319.3206313,-331408232.7927709,45009182.74176997
121,632784011.7924821,-195263610.2396812,-186148426.0248941
122,474993356.8316022,-569772371.850534,39639116.48114559
123,513927863.7845175,-530609609.6373485,-33807742.90807796
124,674694797.1407001,-291983206.7819114,94157884.6430708
125,714077248.1094428,-95036815.86786982,236305758.9056395
126,658504503.1201879,-234810595.1838046,104209701.077095
127,668241292.8984163,-131259096.7745958,193700375.0962571
128,642363581.2086767,-94508453.08312371,289724196.0658711
129,670298305.3059233,-141680701.1298081,334880760.7109167
130,636133961.2327374,-262473944.7496336,263587862.1710676
131,736495821.2821903,-48384874.61050481,-83750582.07388794
132,645568202.509872,-326818621.1552652,119542467.50882
133,651393681.972775,-309898120.6885588,236987495.7881522
134,760718075.4860389,-19166185.92617702,-118847299.3009144
135,460280500.2183933,-580366286.8573749,-124965703.3317848
136,658612861.851484,-393114328.7773364,79116216.17731601
137,666485748.4359206,-290367972.5982307,-123431986.5612657
138,665092815.2601849,-277800979.7708894,-45087588.84898968
139,607777097.0080278,-425937870.8347467,43010189.98547241
140,756835801.3440876,-261476101.6543737,51642190.37577527
141,629887436.9575889,-276117598.671723,272653157.6353077
142,527323530.0375984,-474180189.3425246,-110658344.9870493
143,733928163.1682125,-114102347.9018265,-98155534.91475828
144,510731055.7387868,-500724803.4329121,-238640635.501838
145,584845401.3418567,-430627810.4658157,-296490735.455318
146,611310293.7429544,-452536799.7456493,124971706.4639428
147,708917489.246318,-209502856.0646411,7372326.491347194
148,665237240.2845048,-355858484.4565504,-45188499.93805186
149,655868535.5952699,-218061614.2611405,-267847022.2478388
150,751853434.5415046,-138858510.5617934,-61648135.82498544
151,622891673.417335,-290387266.1416461,-145769834.3619418
152,742303160.9988118,-171915453.8929968,-7512032.095213823
153,636847142.2400762,-504347993.3512893,142590904.4048191
154,693087017.4502354,-363322164.8505098,-45373435.47466725
155,511605091.9969888,-362198461.1129296,253166488.5775963
156,617256009.4097725,-350992784.4011594,215252620.5986263
157,597200925.5691702,-266946818.1958026,256090158.6952944
158,667024278.6191839,-312148699.4591857,120235256.369168
159,521502407.9158109,-427062457.1132635,229751621.4787697
160,695332291.2270718,-186638447.0091271,319696500.2597667
161,676766104.6168972,-115896672.4744856,296735363.492269
162,643776927.4872059,-208063245.8542052,-239618455.744166
163,739193865.5461817,-176999501.9820315,11881817.70202106
164,638541066.7935653,-293553421.1743492,-127941124.3274491
165,616268253.7065829,-413156133.0573404,-159422741.9557758
166,628845716.0610253,-33754915.20566724,-347520189.5542033
167,474080441.4312464,-416695911.1057215,-178609332.9118987
168,675941512.1194334,-130093682.2607695,-397034582.3112286
169,321110113.8495644,-687089267.7917655,-60222277.41040838
170,681957901.7462349,-348173421.3099843,100497808.4957919
171,786653719.4076037,-68718895.91488828,-236881911.2010169
172,520672213.9648844,-456121922.1798094,-157211984.0730114
