,asteroid,X,Y,Z
0,DES=+2000495.csv,-298791436.4696839,-293966249.3086414,10238287.54210088
1,DES=+2000495.csv,-297753249.7838027,-294958326.8383343,10282318.97878356
2,DES=+2000495.csv,-296711061.0385589,-295946438.6427218,10326212.20748097
3,DES=+2000495.csv,-295664883.0643024,-296930570.26059,10369966.5971224
4,DES=+2000495.csv,-294614728.7323858,-297910707.2555369,10413581.51740912
5,DES=+2000495.csv,-293560610.9552478,-298886835.2159846,10457056.33881554
6,DES=+2000495.csv,-292502542.6864979,-299858939.7551929,10500390.43258989
7,DES=+2000495.csv,-291440536.9210021,-300827006.5112745,10543583.17075552
8,DES=+2000495.csv,-290374606.6949695,-301791021.1472123,10586633.92611147
9,DES=+2000495.csv,-289304765.0860406,-302750969.3508783,10629542.07223392
10,DES=+2000495.csv,-288231025.2133759,-303706836.8350543,10672306.98347682
11,DES=+2000495.csv,-287153400.2377463,-304658609.3374534,10714928.03497304
12,DES=+2000495.csv,-286071903.3616242,-305606272.6207453,10757404.60263555
13,DES=+2000495.csv,-284986547.8292755,-306549812.472581,10799736.06315815
14,DES=+2000495.csv,-283897346.9268529,-307489214.7056207,10841921.79401685
15,DES=+2000495.csv,-282804313.9824905,-308424465.1575634,10883961.17347062
16,DES=+2000495.csv,-281707462.3663983,-309355549.6911778,10925853.58056274
17,DES=+2000495.csv,-280606805.4909594,-310282454.1943361,10967598.39512163
18,DES=+2000495.csv,-279502356.8108265,-311205164.5800483,11009194.99776207
19,DES=+2000495.csv,-278394129.8230203,-312123666.7865002,11050642.76988605
20,DES=+2000495.csv,-277282138.0670288,-313037946.7770929,11091941.09368396
21,DES=+2000495.csv,-276166395.124907,-313947990.5404844,11133089.35213551
22,DES=+2000495.csv,-275046914.6213774,-314853784.0906334,11174086.92901053
23,DES=+2000495.csv,-273923710.2239314,-315755313.4668468,11214933.20886989
24,DES=+2000495.csv,-272796795.6429313,-316652564.7338287,11255627.57706632
25,DES=+2000495.csv,-271666184.6317118,-317545523.9817328,11296169.41974486
26,DES=+2000495.csv,-270531890.986683,-318434177.3262171,11336558.12384333
27,DES=+2000495.csv,-269393928.5474315,-319318510.9085035,11376793.07709274
28,DES=+2000495.csv,-268252311.1968232,-320198510.8954386,11416873.66801728
29,DES=+2000495.csv,-267107052.8611026,-321074163.4795592,11456799.28593393
30,DES=+2000495.csv,-265958167.509993,-321945454.8791612,11496569.32095195
31,DES=+2000495.csv,-264805669.1567928,-322812371.3383717,11536183.1639719
32,DES=+2000495.csv,-263649571.8584706,-323674899.1272254,11575640.20668428
33,DES=+2000495.csv,-262489889.7157556,-324533024.5417433,11614939.84156744
34,DES=+2000495.csv,-261326636.8732231,-325386733.9040158,11654081.46188504
35,DES=+2000495.csv,-260159827.5193758,-326236013.5622866,11693064.46168298
36,DES=+2000495.csv,-258989475.8867168,-327080849.8910397,11731888.2357855
37,DES=+2000495.csv,-257815596.2518145,-327921229.2910853,11770552.17979054
38,DES=+2000495.csv,-256638202.9353592,-328757138.1896455,11809055.69006507
39,DES=+2000495.csv,-255457310.302209,-329588563.0404342,11847398.16373889
40,DES=+2000495.csv,-254272932.7614247,-330415490.3237312,11885578.9986991
41,DES=+2000495.csv,-253085084.7662946,-331237906.5464461,11923597.59358415
42,DES=+2000495.csv,-251893780.8143497,-332055798.2421657,11961453.34777811
43,DES=+2000495.csv,-250699035.4473725,-332869151.9711846,11999145.66140668
44,DES=+2000495.csv,-249500863.251402,-333677954.3205091,12036673.93533409
45,DES=+2000495.csv,-248299278.8567428,-334482191.903837,12074037.5711634
46,DES=+2000495.csv,-247094296.9379851,-335281851.3615063,12111235.97123994
47,DES=+2000495.csv,-245885932.2140445,-336076919.3604144,12148268.53865917
48,DES=+2000495.csv,-244674199.4482349,-336867382.5939131,12185134.67727974
49,DES=+2000495.csv,-243459113.4483785,-337653227.7816834,12221833.79174174
50,DES=+2000495.csv,-242240689.0669685,-338434441.6696025,12258365.28749049
51,DES=+2000495.csv,-241018941.2013833,-339211011.0296201,12294728.57080437
52,DES=+2000495.csv,-239793884.794153,-339982922.6596553,12330923.04882605
53,DES=+2000495.csv,-238565534.8332731,-340750163.3835329,12366948.12959473
54,DES=+2000495.csv,-237333906.3525515,-341512720.0509731,12402803.22207759
55,DES=+2000495.csv,-236099014.4319745,-342270579.5376408,12438487.73619764
56,DES=+2000495.csv,-234860874.1980712,-343023728.7452577,12474001.08285712
57,DES=+2000495.csv,-233619500.8242608,-343772154.6017711,12509342.67395414
58,DES=+2000495.csv,-232374909.5311664,-344515844.0615724,12544511.92239304
59,DES=+2000495.csv,-231127115.5868882,-345254784.1057504,12579508.24208774
60,DES=+2000495.csv,-229876134.3072293,-345988961.7423627,12614331.04795949
61,DES=+2000495.csv,-228621981.0558749,-346718364.0067144,12648979.75593048
62,DES=+2000495.csv,-227364671.2445317,-347442977.9616274,12683453.78291358
63,DES=+2000495.csv,-226104220.3330323,-348162790.6976991,12717752.54680115
64,DES=+2000495.csv,-224840643.8294148,-348877789.3335359,12751875.46645278
65,DES=+2000495.csv,-223573957.2899848,-349587961.0159664,12785821.96168388
66,DES=+2000495.csv,-222304176.3193678,-350293292.9202307,12819591.45325504
67,DES=+2000495.csv,-221031316.5705584,-350993772.2501496,12853183.36286336
68,DES=+2000495.csv,-219755393.7449705,-351689386.2382732,12886597.11313511
69,DES=+2000495.csv,-218476423.5924926,-352380122.1460164,12919832.1276207
70,DES=+2000495.csv,-217194421.9115492,-353065967.2637814,12952887.83079112
71,DES=+2000495.csv,-215909404.5491708,-353746908.911072,12985763.648036
72,DES=+2000495.csv,-214621387.4010715,-354422934.4366006,13018459.0056632
73,DES=+2000495.csv,-213330386.4117362,-355094031.2183931,13050973.33089979
74,DES=+2000495.csv,-212036417.574514,-355760186.6638902,13083306.05189349
75,DES=+2000495.csv,-210739496.93172,-356421388.21005,13115456.5977159
76,DES=+2000495.csv,-209439640.5747428,-357077623.3234493,13147424.39836551
77,DES=+2000495.csv,-208136864.6441588,-357728879.500389,13179208.88477209
78,DES=+2000495.csv,-206831185.3298504,-358375144.2669988,13210809.48880079
79,DES=+2000495.csv,-205522618.8711291,-359016405.1793473,13242225.64325736
80,DES=+2000495.csv,-204211181.5568624,-359652649.8235532,13273456.78189312
81,DES=+2000495.csv,-202896889.7256036,-360283865.8159,13304502.33941019
82,DES=+2000495.csv,-201579759.7657247,-360910040.8029543,13335361.75146745
83,DES=+2000495.csv,-200259808.1155514,-361531162.4616872,13366034.45468588
84,DES=+2000495.csv,-198937051.2634995,-362147218.4995986,13396519.88665456
85,DES=+2000495.csv,-197611505.7482147,-362758196.6548449,13426817.48593648
86,DES=+2000495.csv,-196283188.1587119,-363364084.69637,13456926.69207455
87,DES=+2000495.csv,-194952115.1345165,-363964870.4240392,13486846.94559786
88,DES=+2000495.csv,-193618303.3658073,-364560541.6687763,13516577.68802732
89,DES=+2000495.csv,-192281769.5935592,-365151086.292703,13546118.36188233
90,DES=+2000495.csv,-190942530.609688,-365736492.1892834,13575468.41068654
91,DES=+2000495.csv,-189600603.2571943,-366316747.2834675,13604627.27897432
92,DES=+2000495.csv,-188256004.4303097,-366891839.5318421,13633594.41229697
93,DES=+2000495.csv,-186908751.0746422,-367461756.9227808,13662369.25722897
94,DES=+2000495.csv,-185558860.1873232,-368026487.476599,13690951.26137449
95,DES=+2000495.csv,-184206348.8171533,-368586019.2457103,13719339.87337337
96,DES=+2000495.csv,-182851234.064751,-369140340.3147867,13747534.54290813
97,DES=+2000495.csv,-181493533.0826991,-369689438.8009207,13775534.72070988
98,DES=+2000495.csv,-180133263.0756935,-370233302.8537905,13803339.85856518
99,DES=+2000495.csv,-178770441.3006909,-370771920.6558283,13830949.40932222
100,DES=+2000495.csv,-177405085.0670579,-371305280.4223902,13858362.82689779
101,DES=+2000495.csv,-176037211.7367197,-371833370.40193,13885579.56628343
102,DES=+2000495.csv,-174666838.724309,-372356178.8761758,13912599.0835526
103,DES=+2000495.csv,-173293983.4973157,-372873694.1603082,13939420.83586679
104,DES=+2000495.csv,-171918663.5762364,-373385904.603143,13966044.28148264
105,DES=+2000495.csv,-170540896.5347238,-373892798.5873154,13992468.87975822
106,DES=+2000495.csv,-169160699.9997371,-374394364.5294687,14018694.09116025
107,DES=+2000495.csv,-167778091.6516915,-374890590.8804445,14044719.37727043
108,DES=+2000495.csv,-166393089.2246089,-375381466.1254781,14070544.20079243
109,DES=+2000495.csv,-165005710.5062671,-375866978.7843948,14096168.02555834
110,DES=+2000495.csv,-163615973.3383501,-376347117.4118116,14121590.31653573
111,DES=+2000495.csv,-162223895.6165977,-376821870.5973418,14146810.53983374
112,DES=+2000495.csv,-160829495.2909545,-377291226.9658028,14171828.1627101
113,DES=+2000495.csv,-159432790.365719,-377755175.177429,14196642.65357751
114,DES=+2000495.csv,-158033798.8996912,-378213703.9280869,14221253.48200966
115,DES=+2000495.csv,-156632539.0063193,-378666801.9494963,14245660.11874776
116,DES=+2000495.csv,-155229028.8538451,-379114458.0094548,14269862.03570622
117,DES=+2000495.csv,-153823286.6654477,-379556660.9120666,14293858.70597844
118,DES=+2000495.csv,-152415330.7193844,-379993399.4979762,14317649.60384221
119,DES=+2000495.csv,-151005179.3491286,-380424662.6446072,14341234.20476452
120,DES=+2000495.csv,-149592850.9435044,-380850439.266404,14364611.98540647
121,DES=+2000495.csv,-148178363.946816,-381270718.3150806,14387782.423627
122,DES=+2000495.csv,-146761736.8589719,-381685488.7798702,14410744.99848652
123,DES=+2000495.csv,-145342988.235602,-382094739.6877803,14433499.19024985
124,DES=+2000495.csv,-143922136.6881668,-382498460.1038504,14456044.4803886
125,DES=+2000495.csv,-142499200.884058,-382896639.1314092,14478380.35158265
126,DES=+2000495.csv,-141074199.546688,-383289265.9123322,14500506.28772108
127,DES=+2000495.csv,-139647151.4555688,-383676329.6272964,14522421.77390321
128,DES=+2000495.csv,-138218075.4463784,-384057819.496028,14544126.29643826
129,DES=+2000495.csv,-136786990.4110172,-384433724.777541,14565619.34284647
130,DES=+2000495.csv,-135353915.2976523,-384804034.7703613,14586900.40185928
131,DES=+2000495.csv,-133918869.1107548,-385168738.8127329,14607968.96342157
132,DES=+2000495.csv,-132481870.9111333,-385527826.2828014,14628824.51869555
133,DES=+2000495.csv,-131042939.8159701,-385881286.59877,14649466.56006701
134,DES=+2000495.csv,-129602094.998867,-386229109.2190281,14669894.58115549
135,DES=+2000495.csv,-128159355.6899109,-386571283.6422521,14690108.07682879
136,DES=+2000495.csv,-126714741.1757706,-386907799.4074798,14710106.54322253
137,DES=+2000495.csv,-125268270.7998322,-387238646.0941685,14729889.47776517
138,DES=+2000495.csv,-123819963.9623843,-387563813.3222468,14749456.37920843
139,DES=+2000495.csv,-122369840.1208532,-387883290.7521743,14768806.74766187
140,DES=+2000495.csv,-120917918.7900913,-388197068.0850259,14787940.08463073
141,DES=+2000495.csv,-119464219.5427094,-388505135.0626172,14806855.89305478
142,DES=+2000495.csv,-118008762.0094426,-388807481.4676819,14825553.67734638
143,DES=+2000495.csv,-116551565.8795307,-389104097.1241118,14844032.943425
144,DES=+2000495.csv,-115092650.9010981,-389394971.8972585,14862293.19874685
145,DES=+2000495.csv,-113632036.8815137,-389680095.6942969,14880333.95232856
146,DES=+2000495.csv,-112169743.6877158,-389959458.4646339,14898154.71476364
147,DES=+2000495.csv,-110705791.2464951,-390233050.2003541,14915754.99823271
148,DES=+2000495.csv,-109240199.5447285,-390500860.9366843,14933134.31650795
149,DES=+2000495.csv,-107772988.6295662,-390762880.7524654,14950292.18495336
150,DES=+2000495.csv,-106304178.6085775,-391019099.7706172,14967228.12052143
151,DES=+2000495.csv,-104833789.6498606,-391269508.1585888,14983941.64174889
152,DES=+2000495.csv,-103361841.9821264,-391514096.1287895,15000432.26875161
153,DES=+2000495.csv,-101888355.8947642,-391752853.9389976,15016699.5232197
154,DES=+2000495.csv,-100413351.7378969,-391985771.8927464,15032742.9284147
